id,name,description,category,price,stock,created_at,updated_at,deleted_at
1,T-shirt,"A simple and comfortable T-shirt",1,20,100,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
2,Jeans,"Classic blue jeans",1,50,50,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
3,Sneakers,"Sporty and stylish sneakers",1,80,30,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
4,Hoodie,"A warm and cozy hoodie",1,40,80,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
5,"Running Shoes","Lightweight and comfortable shoes for running",1,70,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
6,Shorts,"Comfortable and lightweight shorts",1,30,60,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
7,Backpack,"A durable and spacious backpack",2,50,40,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
8,Suitcase,"A high-quality and stylish suitcase",2,100,30,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
9,"Messenger Bag","A versatile and stylish bag",2,60,50,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
10,Wallet,"A sleek and minimalist wallet",2,20,100,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
11,Briefcase,"A professional and elegant briefcase",2,80,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
12,Smartphone,"A powerful and high-end smartphone",3,1000,10,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
13,Tablet,"A portable and versatile tablet",3,600,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
14,Laptop,"A high-performance and reliable laptop",3,1200,5,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
15,Smartwatch,"A stylish and feature-packed smartwatch",3,300,30,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
16,Headphones,"Premium noise-cancelling headphones",3,350,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
17,Camera,"A professional-grade camera with advanced features",4,2000,5,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
18,Lens,"A high-quality lens for professional photography",4,1000,10,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
19,Tripod,"A sturdy and reliable tripod for cameras",4,150,30,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
20,Flash,"A powerful external flash for cameras",4,200,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
21,Drone,"A high-tech drone for aerial photography and videography",4,1500,3,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
22,"Coffee Maker","A high-quality and easy-to-use coffee maker",5,100,30,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
23,Kettle,"A stylish and efficient electric kettle",5,50,50,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
24,Toaster,"A reliable and functional toaster",5,40,80,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
25,Blender,"A powerful and versatile blender",5,80,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
26,Mixer,"A high-performance and durable mixer",5,120,10,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
27,"Knife Set","A set of high-quality and sharp knives",6,150,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
28,"Cutting Board","A durable and easy-to-clean cutting board",6,30,50,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
29,"Cookware Set","A comprehensive set of high-quality cookware",6,300,10,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
30,Spatula,"A versatile and durable spatula",6,10,100,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
31,"Nike Air Force 1","Leather and synthetic upper with textile lining, rubber outsole.",6,110,15,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
32,"Adidas Originals Superstar","Leather and synthetic upper with rubber outsole.",6,90,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
33,"Puma Calibrate Runner","Textile upper with rubber outsole.",6,80,25,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
34,"Reebok Classic Leather","Leather upper with rubber outsole.",6,70,30,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
35,"Converse Chuck Taylor All Star","Canvas upper with rubber outsole.",6,50,40,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
36,"Timberland 6 Inch Premium Boot","Leather upper with rubber outsole.",6,180,10,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
37,"New Balance 574 Core","Suede and mesh upper with rubber outsole.",6,100,20,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
38,"Vans Old Skool","Canvas and suede upper with rubber outsole.",6,65,30,"2023-03-17 12:02:08","2023-03-17 12:02:08",NULL
